gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TCL1A,7.84396933709548,1.32363540317108,0.418591407667446,3.16211794825625,0.00156626110269266,0.32515887034573
APMAP,3017.24493251437,-0.398508526591949,0.12597103870646,-3.16349321783843,0.00155887983919613,0.32515887034573
RRP9,81.4480353089085,-0.633354705265095,0.19955722603042,-3.17379990624116,0.00150457374426696,0.32515887034573
UBIAD1,279.198204566045,-0.290127269693486,0.090751300262145,-3.19694890161818,0.00138889528076603,0.32515887034573
TUBA4A,286.045877939858,-0.581606309944285,0.179153167631243,-3.2464193496228,0.00116866555301991,0.32515887034573
TCN1,13.1857788336491,-2.59245750686828,0.826780083342832,-3.13560710895027,0.0017149879004277,0.32515887034573
TRAFD1,226.037720195917,-0.245942549264174,0.0786163878689443,-3.12838780731273,0.00175768099723732,0.32515887034573
LLPH,252.220400639246,-0.299091131461497,0.0920330910355032,-3.24982164671746,0.00115477406934849,0.32515887034573
IMPA2,394.177844742516,-0.509042910636112,0.15685120306172,-3.24538735246937,0.00117290959442174,0.32515887034573
DAAM2,141.267718601752,-0.505671101536912,0.160868072067729,-3.14339007757868,0.001670031263203,0.32515887034573
TMEM27,612.833340990706,0.528859913471372,0.168165987841615,3.14486847346012,0.00166161515156376,0.32515887034573
HIKESHI,254.678188378182,0.349265905919014,0.110849113924568,3.1508227134471,0.0016281128307272,0.32515887034573
TCF7L1,191.602436453518,-0.455109446537573,0.145176857857582,-3.13486221739304,0.00171934845524932,0.32515887034573
FRRS1,22.9543788521841,-1.31685009820046,0.411024503167485,-3.20382383058042,0.00135615431752078,0.32515887034573
TPRG1L,1346.26426087352,-0.238559279464921,0.0749249669256781,-3.18397577274289,0.00145267170143135,0.32515887034573
GPAT4,817.818422815286,-0.407297814474698,0.127934137000862,-3.18365233879644,0.00145429566145479,0.32515887034573
NEK8,48.0071956448084,-0.579308066090353,0.181499389521884,-3.1917907140977,0.00141393742456234,0.32515887034573
TREML1,1.6831392099256,1.79518654562156,0.557727346632549,3.21875295601077,0.00128749355706579,0.32515887034573
SPINK1,642.869120482856,-2.35739513771161,0.732962140379181,-3.21625771351855,0.00129874146307385,0.32515887034573
SUMO4,6.48215972519014,1.23160218152818,0.384375584978492,3.20416340074539,0.00135455575988602,0.32515887034573
C3orf80,17.4164985166333,-1.48530357044903,0.473466241180107,-3.13708442390092,0.00170636985281332,0.32515887034573
RCC1,182.578527727273,-0.546644718158509,0.172136314225636,-3.17565018524777,0.00149501112084945,0.32515887034573
