gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ID4,93.5516015733667,-2.74962340005088,0.285381591318684,-9.6349010717387,5.69468263916671e-22,1.81266128929783e-19
NIPAL2,238.368102011761,-1.65800284974738,0.172115656230214,-9.63307398096148,5.7968855948225e-22,1.82183639934498e-19
EPHA3,322.637933794587,-2.07062495154528,0.215036544934705,-9.62917699488716,6.02097679788122e-22,1.86861014922244e-19
MAP1A,14.5483390720549,-2.8908171306548,0.300753954827768,-9.61190063921282,7.12219720172258e-22,2.18308533486874e-19
DIRAS2,17.4730547281553,-2.48739630025056,0.258830745012981,-9.61012688089202,7.24596417674262e-22,2.1939365680508e-19
C7,4923.88966640613,-2.18007974946422,0.227049822890297,-9.60176811288493,7.85846102006555e-22,2.34897213284295e-19
HS3ST2,17.7777332282772,-3.70551244425303,0.38596633149006,-9.60061057643952,7.9472232623976e-22,2.34897213284295e-19
GSN,804.742713669095,-1.80651921788713,0.188229197816187,-9.59744417362529,8.19512976735498e-22,2.3937491983987e-19
FAM198A,256.22746143179,1.86291582373288,0.195003647449312,9.55323578866449,1.25707369681205e-21,3.62914252842438e-19
ANXA2,1449.43043176959,-1.81951632042205,0.190529711593774,-9.54977732975014,1.29975346020446e-21,3.70922746091453e-19
COL10A1,33.1584044654404,-3.63835742373025,0.381458231372403,-9.53802310318547,1.45580890471176e-21,4.10736630524813e-19
GPX3,5829.08742104467,-1.56322336814777,0.164292265889773,-9.51489322812414,1.818995939874e-21,5.07438552754964e-19
LAMA2,143.887822836007,-2.67384670279009,0.281366324858718,-9.50308002968267,2.0377218857777e-21,5.62139544223209e-19
ANK3,388.304406461175,-1.6839631021937,0.177417295016115,-9.49153859008357,2.27648993080757e-21,6.14355347848807e-19
TMEM55A,110.178917612493,-1.68398423239077,0.177400931861927,-9.49253318297915,2.25486807034587e-21,6.14355347848807e-19
PLVAP,275.395349658274,-2.27404910715396,0.239778901550282,-9.48394163310938,2.44855129987129e-21,6.53684211539833e-19
GOLM1,697.650412856047,-1.74894221494011,0.184507601805007,-9.4789710441765,2.56802763199197e-21,6.78287128160603e-19
GDNF,17.5726240949026,-3.62260814275238,0.382597677172797,-9.46845304843881,2.84018551927786e-21,7.42275011290849e-19
FSTL3,128.817491337158,-1.95328663709306,0.206580080909283,-9.45534839804242,3.21948022253831e-21,8.32638072553969e-19
BICC1,280.446043017322,-2.56327905828523,0.271624085600454,-9.43686217155164,3.84109774402394e-21,9.8316262668687e-19
FAT1,786.62775279885,-1.81616780091987,0.192540394261188,-9.43265857478288,3.99823965423263e-21,1.01294177689069e-18
GOLGA6A,86.198372619611,2.73431525612757,0.29009502440855,9.42558481208818,4.27715364691101e-21,1.07265829035865e-18
SUSD2,61.8534718005315,-2.49249727595113,0.264507782032084,-9.42315290991627,4.37741965794383e-21,1.08682575267429e-18
SPRY1,299.087577129257,-1.30351430424173,0.13859671859091,-9.40508777909278,5.19867945196846e-21,1.27794864785617e-18
HSD17B14,216.463706739962,2.56352531296091,0.272748845440697,9.3988493656824,5.51629976574078e-21,1.34273226062561e-18
SEZ6L2,60.0789505026861,-3.22131200172419,0.342835010038329,-9.39609989471041,5.66230856791904e-21,1.36489123421645e-18
THY1,135.542700404303,-2.88969253081036,0.307902665241899,-9.38508449915532,6.28660126505945e-21,1.50080515585477e-18
